,text
1214,All in all it is a good product. We expect some more quality in noise cancellation and bass.
1215,I bought my airdopes on 5 July 2022 but 4th it's one earbud stop functioning even after factory reset
1216,Best
1217,"                    The media could not be loaded.
                



 It's good enough! If we see the price then I think it's too good."
1218,Good product
1219,"it's good But when I am talking to someone on call, then my voice is less heard by the other person"
1220,"                    The media could not be loaded.
                "
1221,Perfect Product. But I have lost charging case. Pls help how can I get another one.
1222,
1223,"                    The media could not be loaded.
                



 Good"
1224,Overall a good device in it's price range. Bass is so overpowered that sometimes even it supresses the lyrics. Some connectivity issues are faced at rare occasions
1225,Voice quality good
1226,Quality of manufacture is goodBattery is actually excellentSound is also good
1227,"                    The media could not be loaded.
                



 Jst loved it but .... Sadly it's not for the ones who get inner ear drum pain and headache using fully covered ear buds .... If u need an outer ear safe music experience then go for neckbands ❤️ btw this product is jst love 💓 only issue is its scratched charging indicated and case , whn I bought this it was portrayed to be pOut of stock but I ordered and it reached me within 4 days of placing order this is my first eva product review jst wanna convey this hope it's helpful ✨ fa u guys .... Tq , bought tdy and gonna return it tdy that's the sad thing bout it ... Tried to get used to it but cannot "" Lemme see for a couple of days and proceed with my return ... But sure tht I'll return this due to Freq head aches ... Already tested it twice both in high and average sound !!"""
1228,"Good connectivity, good sound, good battery backup."
1229,"Bass quality is less, Sound quality is ok.During calls other side person couldn't hear me properly. Mic is not good"
1230,The best thing it is not bad.better that Samsung's but for the price of 1000₹ thats a solid sound bass and noise cancellatoin. The bass is not too much like tje cheep quality one's it's the perfect amount noise cancellation is a 4.5 its amazing mic quality its really good. Very light wight. Buy it
1231,My 1 side charger was not working after 12 month can you help me plz
1232,One Speaker damage damage
1233,Battery backup is awesome.Easy to use.
1234,The item sound in good but but not comfortable in the ear because one side light weight ..!
1235,Bad sawond
1236,It’s a nice trick to trap people while giving a High MRP and then giving a heavy discount but the reality is this product is not worth 300 rupee. Only Pros it have is battery back
1237,Super good
1238,The left airdope is not functioning properlyWhen keep in the compartment it's shows charge is above 80% but doesn't work.Sometimes it works for less than 5 mins. Currently I'm ising right airdope only. Not sure how long that's going to help
1239,"Worth product at lowest price hence pause button is little bit tight to operate, while pressing the pause button sometimes i may feel discomfort."
1240,No 1 quality product
1241,Good
1242,During call conectivity is not good
1243,Not fit best in ears .it slips often from ears.sound is not clear while talking.good for listing song
1244,"                    The media could not be loaded.
                



 Product was good but little problem it is not comfortably fit in my ear best tws i get.first tym i order any electronic item from Amazon nyc one.i purchase these tws in rs.899 in sale."
1245,"No doubt boat is a brand, but these buds are not for everyone...not easy to use...have to push the buds all the way in."
